region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
High School,Skyline High School,School Culture,,Kids First,Youth Leadership,Youth Leadership,11/01/2011,,,,,
High School,Skyline High School,School Culture,,Leadership Excellence,School Climate/Violence Prevention,Violence Prevention,11/11/2011,,,,,
High School,Skyline High School,School Culture,,One Land One People,One Land One People Youth and Family Resource Center services to increase multiracial understanding and youth-parent engagement,Youth Center,11/11/2011,,,,,
High School,Skyline High School,School Culture,,Peer Resource Program ,Safety,Safety,11/11/2011,,,,,
High School,Skyline High School,School Culture,,Youth Radio,School Climate/Violence Prevention,Violence Prevention,11/11/2011,,,,,
High School,Skyline High School,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Cyber High Program ,Tutors,Academic Support,11/11/2011,,,,,
3,Sobrante Park Elementary,Extended Learning Time,,Higher Ground Neighborhood Development Corporation,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Sobrante Park Elementary,Extended Learning Time,,OUSD," Summer Prep Program, ESY Classes, Summer Pre-K Camp",Summer Prep Program,11/11/2011,,,,,
3,Sobrante Park Elementary,Extended Learning Time,,Time Banking and Resident Action Council ,Extended Learning,Extended Learning,11/11/2011,,,,,
3,Sobrante Park Elementary,Family & Community Engagement,,OUSD,"Migrant Education Parent Workshops (academic, health, other depending on need)",Parent Workshops,11/11/2011,,,,,
3,Sobrante Park Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
3,Sobrante Park Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Sobrante Park Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,Sobrante Park Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/01/2011,,,,,
3,Sobrante Park Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,Sobrante Park Elementary,School Culture,Health & Wellness,TransForm,Safe Routes to Schools,Violence Prevention/Physical Activity,11/01/2011,,,,,
High School,Sojourner Truth Independent Study (K - 12),Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Sojourner Truth Independent Study (K - 12),Extended Learning Time,,OUSD,Summer Learning,Summer Prep Program,11/01/2011,,,,,
3,Stonhurst ,Balanced Literacy & Literacy Across the Curriculum,,Sylvan Learning Center,Literacy Program ,Academic Support,11/01/2011,,,,,
3,Stonhurst ,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Art Esteem,Art Program,Arts Enrichment,11/01/2011,,,,,
3,Stonhurst ,Extended Learning Time,Accelerating Students through Targeted Approaches,Tutor Works,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/11/2011,,,,,
3,Stonhurst ,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Bay Area Community Resources (BACR),After School computer classes (FastForward),After School Enrichment,11/11/2011,,,,,
High School,Street Academy,"College, Career & Workforce",Extended Learning Time,Bay Area Driving School,After School Driving School,After School Enrichment,11/11/2011,,,,,
High School,Street Academy,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,ALICE Arts and Literacy in Children's Education,After School Visual and Performing Arts,After School Arts Enrichment,11/11/2011,,,,,
High School,Street Academy,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Street Academy,Extended Learning Time,Health & Wellness,Niroga Institute,After School yoga,After School Enrichment,11/11/2011,,,,,
High School,Street Academy,Health & Wellness,,ASPIRE New Bridge Foundation,Drug/Alcohol Intervention,Health Services,11/11/2011,,,,,
High School,Street Academy,Health & Wellness,,La Clinica de la Raza,Agreement with TechniClinic school based health center at Tech,Health Services,11/11/2011,,,,,
High School,Street Academy,Health & Wellness,,Seneca Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
High School,Street Academy,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/11/2011,,,,,
2,Think College Now Elementary,Accelerating Students through Targeted Approaches,Extended Learning Time,"Girls, Inc.","Girls Smart, Girls WOW, Girls Start",After School Girl Group,11/01/2011,,,,,
2,Think College Now Elementary,Balanced Literacy & Literacy Across the Curriculum,,Superstars Literacy Inc. ,Literacy K-2,Academic Support,11/01/2011,,,,,
2,Think College Now Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
2,Think College Now Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Think College Now Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Music National Service,Music classes,Arts Enrichment,11/01/2011,,,,,
2,Think College Now Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
2,Think College Now Elementary,Extended Learning Time,,OUSD, Summer Prep Program Oakland Fine Arts Summer School (OFASS),Summer Prep Program,11/01/2011,,,,,
2,Think College Now Elementary,Extended Learning Time,,UC BUILD (Cal Corps Public Service Center - UC Berkeley),After School UC BUILD program tutoring,Tutoring,11/11/2011,,,,,
2,Think College Now Elementary,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,,,,,
2,Think College Now Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Think College Now Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE (Shared with International Community School),Health Services,11/11/2011,,,,,
2,Think College Now Elementary,Health & Wellness,,Site Funded,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Think College Now Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
2,Think College Now Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
1,Thornhill Elementary,Extended Learning Time,,OUSD, Summer Prep Program at Chabot,Summer Prep Program,11/11/2011,,,,,
1,Thornhill Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Thornhill Elementary,Transitions & Pathways PreK-12,,Adventure Time,Extended Day Care Center,Early Childhood Education,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Extended Learning Time,,Elev8 Initiative,Saturday School,Saturday School,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Extended Learning Time,,OUSD," Summer Prep Program, Summer Elev8, Algebra Academy, Mills Trio, UpWard Bound, Life Academy summer program",Summer Prep Program,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Extended Learning Time,,Safe Passages,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Family & Community Engagement,,Elev8 Initiative,Family Advocate,Family Advocate,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,Native American Health Center,Calvin Simmons School Based Health Center (SBHC),School Based Health Center/Health Services,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,Native American Health Center,Summer nutrition services,Summer Nutrition,11/11/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with Life Academy),Health Services,11/01/2011,,,,,
Transformation,United for Success Academy Middle School,Health & Wellness,,Seneca Center,Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,United for Success Academy Middle School,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/01/2011,,,,,
Transformation,United for Success Academy Middle School,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
Transformation,United for Success Academy Middle School,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Urban Promise Academy Middle School,Balanced Literacy & Literacy Across the Curriculum,,OUSD (in house),Academic support for English learners,Academic Support,06/13/2013,Kristi Leunig,,,,
2,Urban Promise Academy Middle School,Balanced Literacy & Literacy Across the Curriculum,,OUSD (in house),AM-PM Boost Program,After School Homework Support,06/13/2013,,,,,
2,Urban Promise Academy Middle School,"College, Career & Workforce",,Highland Hospital,Internships,Career Readiness,06/13/2013,MaryEllen Batardo,,,,
2,Urban Promise Academy Middle School,"College, Career & Workforce",,"MetWest, Life Academy, ARISE ",High school students provide services for UPA community,,06/13/2013,,,,,
2,Urban Promise Academy Middle School,Extended Learning Time,,BACR,After School Lead Program OUSD,After School Program,03/13/2013,,,,,
2,Urban Promise Academy Middle School,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,03/13/2013,"Mark Triplett, Meron Misgun",,,,
2,Urban Promise Academy Middle School,Extended Learning Time,,Unity Council,After school programming,After school program,06/13/2013,Merun Misgun,,,,
2,Urban Promise Academy Middle School,Extended Learning Time,,Aim High,Summer enrichment program for incoming 4th and 5th graders (6 classes),Summer enrichment,06/13/2013,,,,,
2,Urban Promise Academy Middle School,Extended Learning Time,,OUSD,"Summer Prep Program, Hosted AIM High",Summer Prep Program,11/11/2011,,,,,
2,Urban Promise Academy Middle School,Family & Community Engagement,,Oakland Schools Foundation ,"Family Engagement and Leadership Initiative (FamELI) - Family Resource Center, Zumba class for parents, other classes…",Family Resource Center,06/13/2013,"Glendy Cordero, Guadalupe Gomez",,,,
